NUMMER;BILDNR;FOTOGRAF;COPYRIGHT;
00005;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00007;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00007;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00012;0001;;© Kt.  Denkmalpflege Aarau;
00023;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00023;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00028;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00028;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00028;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00028;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00028;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00031;0001;Thomas Bitterli;;
00034;0001;;©  Archiv Bauernhausforschung Zug;
00037;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00043;0003; ;© Büro ADB  ;
00044;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00046;0001; ;© Büro ADB  ;
00046;0003; ;© Büro ADB  ;
00046;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00046;0006;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00047;0002;;© Kt.  Denkmalpflege Aargau;
00047;0003;;© Kt.  Denkmalpflege Aargau;
00048;0002;;© Kt.  Denkmalpflege Aargau;
00048;0003;;© Kt.  Denkmalpflege Aargau;
00064;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00064;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00064;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00064;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00064;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00071;0002; ;© Büro ADB  ;
00071;0006; ;© Büro ADB  ;
00071;0007;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00076;0001; ;© Büro ADB  ;
00076;0008; ;© Büro ADB  ;
00076;0009; ;© Büro ADB  ;
00076;0013;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00080;0001; ;© Büro ADB  ;
00080;0002; ;© Büro ADB  ;
00084;0001; ;© Büro ADB  ;
00087;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00087;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00087;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00092;0008;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00092;0009;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00094;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00094;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00094;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00094;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00101;0001; ;© Büro ADB  ;
00101;0011; ;© Büro ADB  ;
00101;0012; ;© Büro ADB  ;
00101;0013; ;© Büro ADB  ;
00103;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00103;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00103;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00103;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00104;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00104;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00111;0001;;©  Archiv Bauernhausforschung Zug;
00111;0002;;©  Archiv Bauernhausforschung Zug;
00117;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00117;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00117;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00117;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00117;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00123;0001;;© Kt.  Denkmalpflege Aargau;
00123;0003;;© Kt.  Denkmalpflege Aargau;
00123;0004;;© Kt.  Denkmalpflege Aargau;
00125;0004; ;© Büro ADB  ;
00125;0005; ;© Büro ADB  ;
00125;0006; ;© Büro ADB  ;
00133;0006;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00133;0007;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00136;0001;;© Kt.  Denkmalpflege Aargau;
00136;0002;;© Kt.  Denkmalpflege Aargau;
00137;0006;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00137;0007;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00140;0001;;© Kt.  Denkmalpflege Aargau;
00140;0004;;© Kt.  Denkmalpflege Aargau;
00140;0008;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00156;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00156;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00156;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00159;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00159;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00165;0004;Markus Fischer;;
00177;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00177;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00177;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00182;0001; ;© Büro ADB  ;
00182;0007; ;© Büro ADB  ;
00182;0008; ;© Büro ADB  ;
00184;0001; ;© Büro ADB  ;
00184;0003; ;© Büro ADB  ;
00184;0004; ;© Büro ADB  ;
00184;0005; ;© Büro ADB  ;
00189;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00194;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00194;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00194;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00194;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00194;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00201;0002;;©  Archiv Bauernhausforschung Zug;
00202;0001; ;© Büro ADB  ;
00202;0003; ;© Büro ADB  ;
00202;0007; ;© Büro ADB  ;
00214;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00247;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00247;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00247;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00252;0002;;© Kt.  Denkmalpflege Aargau;
00252;0007;;© Kt.  Denkmalpflege Aargau;
00261;0006;;© Kt.  Denkmalpflege Aargau;
00261;0007;;© Kt.  Denkmalpflege Aargau;
00261;0009;;© Kt.  Denkmalpflege Aargau;
00281;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00284;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00284;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00284;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00284;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00284;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00285;0001;;© Kt.  Denkmalpflege Aargau;
00285;0005;;© Kt.  Denkmalpflege Aargau;
00285;0009;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00285;0010;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00295;0010;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00305;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00305;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00305;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00307;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00308;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00332;0001;Siegfried Möri ;© Büro ADB  ;
00332;0002;Siegfried Möri ;© Büro ADB  ;
00354;0001;Siegfried Möri ;© Büro ADB  ;
00354;0002;Siegfried Möri ;© Büro ADB  ;
00386;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00386;0002;Hans Schüpbach;© Fachbereich Kulturgüterschutz, BABS;
00386;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00386;0005;Hans Schüpbach;© Fachbereich Kulturgüterschutz, BABS;
00386;0006;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00386;0007;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00403;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00407;0001;Markus Fischer;;
00408;0001;Markus Fischer;;
00408;0002;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00409;0001;;© Kt.  Denkmalpflege AR;
00409;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00409;0005;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00411;0001;Markus Fischer;;
00411;0002;;© Kt.  Denkmalpflege AR;
00411;0003;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00411;0004;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00432;0001;Markus Fischer;;
00432;0003;Markus Fischer;;
00434;0001;Siegfried Möri;© Büro ADB;
00434;0005;Siegfried Möri;© Büro ADB;
00434;0008;Siegfried Möri;© Büro ADB;
00434;0010;Siegfried Möri;© Büro ADB;
00434;0011;Siegfried Möri;© Büro ADB;
00434;0015;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00435;0001;Markus Fischer;;
00435;0004;Markus Fischer;;
00435;0011;Siegfried Möri ;© Büro ADB;
00435;0012;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00443;0001;Roland Zumbühl, Arlesheim;© www.picswiss.ch;
00445;0001;Markus Fischer;;
00445;0002;Markus Fischer;;
00445;0004;Markus Fischer;;
00459;0001;Markus Fischer;;
00459;0002;Markus Fischer;;
00459;0003;Markus Fischer;;
00460;0002; ;© Büro ADB;
00460;0003; ;© Büro ADB;
00525;0001;;© Kt.  Denkmalpflege AR;
00526;0001;;© Kt.  Denkmalpflege AR;
00527;0001;;© Kt.  Denkmalpflege AR;
00528;0003; ;© Büro ADB;
00528;0005; ;© Büro ADB;
00529;0002; ;© Büro ADB;
00529;0003; ;© Büro ADB;
00529;0004; ;© Büro ADB;
00529;0005; ;© Büro ADB;
00532;0001;;© Kt.  Denkmalpflege AR;
00532;0002; ;© Büro ADB;
00532;0004; ;© Büro ADB;
00536;0001;;© Kt.  Denkmalpflege AR;
00537;0002;;© Kt.  Denkmalpflege AR;
00537;0003;;© Kt.  Denkmalpflege AR;
00544;0001;;© Kt.  Denkmalpflege AR;
00545;0001;;© Kt.  Denkmalpflege AR;
00578;0004;;© Kt.  Denkmalpflege Bern;
00578;0005;Walter Studer;© Kt.  Denkmalpflege Bern;
00578;0006;Walter Studer;© Kt.  Denkmalpflege Bern;
00578;0007;G. Howald;© Kt.  Denkmalpflege Bern;
00587;0007;J. Schweizer;© Kt.  Denkmalpflege Bern;
00587;0008;;© Kt.  Denkmalpflege Bern;
00587;0010;;© Kt.  Denkmalpflege Bern;
00587;0011;;© Kt.  Denkmalpflege Bern;
00591;0001;J. Gfeller;© Kt. Denkmalpflege Bern;
00591;0005;J. Gfeller;© Kt. Denkmalpflege Bern;
00591;0007;J. Gfeller;© Kt. Denkmalpflege Bern;
00591;0012;J. Gfeller;© Kt. Denkmalpflege Bern;
00594;0004;;© Kt. Denkmalpflege Bern;
00594;0008;G. Howald;© Kt. Denkmalpflege Bern;
00594;0009;G. Howald;© Kt. Denkmalpflege Bern;
00594;0015;G. Howald;© Kt. Denkmalpflege Bern;
00598;0001;;© Kt. Denkmalpflege Bern;
00598;0002;;© Kt. Denkmalpflege Bern;
00598;0005;;© Kt. Denkmalpflege Bern;
00598;0006;;© Kt. Denkmalpflege Bern;
00598;0008;;© Kt. Denkmalpflege Bern;
00611;0003;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00611;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00612;0001;A. Boa;© Büro ADB;
00612;0002;A. Boa;© Büro ADB;
00612;0004;A. Boa;© Büro ADB;
00612;0006;A. Boa;© Büro ADB;
00612;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00612;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00614;0001;;www.bar.admin.ch/org/;
00614;0002;;© Büro ADB;
00614;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00614;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00614;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0002;;www.admin.ch;
00615;0004;;www.admin.ch;
00615;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0010;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0011;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0012;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0013;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0014;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0015;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0016;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0017;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0018;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0019;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0020;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0021;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0022;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0023;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0024;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00615;0025;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00616;0001;;© Büro ADB;
00616;0003;;© Büro ADB;
00616;0004;S. Moeri;© Büro ADB;
00616;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00616;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00617;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00617;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00617;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00619;0002;;© www.swissmint.ch/;
00619;0003;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00619;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00619;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00619;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00619;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00619;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00619;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00621;0001;Hans Schüpbach;© Fachbereich Kulturgüterschutz, BABS;
00621;0006;;© Büro ADB;
00621;0009;;© Kt. Denkmalpflege Bern;
00621;0012;Hans Schüpbach;© Fachbereich Kulturgüterschutz, BABS;
00621;0013;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00621;0014;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00621;0015;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00621;0016;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00622;0002;;© Büro ADB;
00622;0007;H. Hofer, H. Schüpbach;© Fachbereich Kulturgüterschutz, BABS;
00622;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00622;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00623;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00623;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00623;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00623;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00623;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00623;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00624;0003;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00624;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00624;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0010;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0011;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0012;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0013;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0014;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0015;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0016;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0017;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0018;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00627;0019;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00628;0001;;© Büro ADB;
00628;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00628;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00628;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00629;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00629;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00629;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00629;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00630;0001;;© HOBIM;
00630;0005;;© HOBIM;
00630;0009;;© HOBIM;
00630;0014;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00630;0015;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00630;0016;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00630;0017;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00630;0018;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00630;0019;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00630;0020;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00631;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00631;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00631;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00632;0003;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00632;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00632;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00632;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00633;0002;;© Kt. Denkmalpflege Bern;
00633;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00633;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00633;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00633;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00635;0003;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00635;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00636;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00636;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00636;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00638;0001;;© Büro ADB;
00638;0003;;© Büro ADB;
00638;0004;;© Büro ADB;
00638;0007;;© Büro ADB;
00638;0008;;© Büro ADB;
00638;0010;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00638;0011;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00638;0012;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00638;0013;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00638;0014;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00638;0015;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00639;0001;;© Büro ADB, Bern;
00639;0004;;© Büro ADB, Bern;
00639;0006;;© Büro ADB, Bern;
00639;0007;;© Büro ADB, Bern;
00639;0013;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00639;0014;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00640;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00640;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00640;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00641;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00641;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00641;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00641;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00641;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00641;0010;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00641;0011;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00641;0012;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00641;0013;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00641;0014;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00642;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00642;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00642;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00642;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00642;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00642;0010;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0010;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0011;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0012;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0013;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0014;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0015;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0016;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0017;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0018;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0019;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0020;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0021;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0022;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0023;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00643;0024;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00645;0010;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00645;0011;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00645;0012;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00645;0013;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00645;0014;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00645;0015;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00645;0017;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00646;0002;Arpad Boa;© Büro ADB;
00646;0003;Arpad Boa;© Büro ADB;
00646;0004;Arpad Boa;© Büro ADB;
00646;0006;Arpad Boa;© Büro ADB;
00646;0007;Arpad Boa;© Büro ADB;
00646;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00646;0010;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00646;0011;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00647;0007;S. Zellmeyer;© Fachbereich Kulturgüterschutz, BABS;
00647;0008;S. Zellmeyer;© Fachbereich Kulturgüterschutz, BABS;
00647;0009;S. Zellmeyer;© Fachbereich Kulturgüterschutz, BABS;
00647;0011;S. Zellmeyer;© Fachbereich Kulturgüterschutz, BABS;
00647;0013;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00647;0014;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00647;0015;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00648;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00648;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00649;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00649;0010;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00649;0011;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00649;0012;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00649;0013;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00649;0014;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00649;0015;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00650;0003;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00650;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00652;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00652;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00654;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00654;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00654;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00654;0007;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00654;0008;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00654;0009;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00654;0010;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00654;0011;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00655;0004;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00655;0005;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
00655;0006;Samuel Bauhofer;© BABS, Fachbereich Kulturgüterschutz;
