Bildnummer,Y Koordinate,X Koordinate,Legende DE **,Legende FR **,Legende IT **,Legende EN **,Map.geo.admin.ch link,Kommentar
518_0524a,114378,609120,<b>Bendolla - Les Crêts Grimentz - Umlaufsesselbahn feste Klemmen</b> Baujahr: <b>1977</b>,<b>Bendolla - Les Crêts Grimentz - Télésiège à pinces fixes</b> Année de construction: <b>1977</b>,<b>Bendolla - Les Crêts Grimentz - Funivia a movimento continuo</b> Anno di costruzione: <b>1977</b>,<b>Bendolla - Les Crêts Grimentz - Fixed grip chairlift</b> Year of construction: <b>1977</b>,Prüflink,
cimg4763,106170,637853,<b>Saas Fee - Maste 4 Saas Fee - Umlaufkabinenbahn</b> Baujahr: <b>1991</b>,<b>Saas Fee - Maste 4 Saas Fee - Télécabine à mouvement continu</b> Année de construction: <b>1991</b>,<b>Saas Fee - Maste 4 Saas Fee - Funivia a movimento continuo</b> Anno di costruzione: <b>1991</b>,<b>Saas Fee - Maste 4 Saas Fee - Circulating cableway</b> Year of construction: <b>1991</b>,Prüflink,
518_1941,199656,718468,<b>Niederschlacht - Hüttenberg Braunwald - Gruppenumlaufbahn Kabinen</b> Baujahr: <b>1990</b>,<b>Niederschlacht - Hüttenberg Braunwald - Télécabine pulsée</b> Année de construction: <b>1990</b>,<b>Niederschlacht - Hüttenberg Braunwald - Funivia a movimento continuo</b> Anno di costruzione: <b>1990</b>,<b>Niederschlacht - Hüttenberg Braunwald - Cable car in continuous motion</b> Year of construction: <b>1990</b>,Prüflink,
518_2353,199830,718180,<b>Hüttenberg - Grotzenbüel Braunwald - Gruppenumlaufbahn Kabinen</b> Baujahr: <b>1990</b>,<b>Hüttenberg - Grotzenbüel Braunwald - Télécabine pulsée</b> Année de construction: <b>1990</b>,<b>Hüttenberg - Grotzenbüel Braunwald - Funivia a movimento continuo</b> Anno di costruzione: <b>1990</b>,<b>Hüttenberg - Grotzenbüel Braunwald - Cable car in continuous motion</b> Year of construction: <b>1990</b>,Prüflink,
cimg6148,148520,609359,<b>Adelboden Oey - Adelboden Dorf Adelboden - Einseilgruppenpendelbahn</b> Baujahr: <b>1990</b>,<b>Adelboden Oey - Adelboden Dorf Adelboden - Téléphérique monocâble à groupes de cabines</b> Année de construction: <b>1990</b>,<b>Adelboden Oey - Adelboden Dorf Adelboden - Funivia a va e vieni</b> Anno di costruzione: <b>1990</b>,<b>Adelboden Oey - Adelboden Dorf Adelboden - Mono cable aerial tramway with group of cabins</b> Year of construction: <b>1990</b>,Prüflink,
cimg4804,103458,637045,<b>Maste 4 - Felskinn Saas Fee - Umlaufkabinenbahn</b> Baujahr: <b>1994</b>,<b>Maste 4 - Felskinn Saas Fee - Télécabine à mouvement continu</b> Année de construction: <b>1994</b>,<b>Maste 4 - Felskinn Saas Fee - Funivia a movimento continuo</b> Anno di costruzione: <b>1994</b>,<b>Maste 4 - Felskinn Saas Fee - Circulating cableway</b> Year of construction: <b>1994</b>,Prüflink,
604_0059,171090,625002,<b>Beatenberg - Niederhorn Beatenberg - Gruppenumlaufbahn Kabinen</b> Baujahr: <b>1996</b>,<b>Beatenberg - Niederhorn Beatenberg - Télécabine pulsée</b> Année de construction: <b>1996</b>,<b>Beatenberg - Niederhorn Beatenberg - Funivia a movimento continuo</b> Anno di costruzione: <b>1996</b>,<b>Beatenberg - Niederhorn Beatenberg - Cable car in continuous motion</b> Year of construction: <b>1996</b>,Prüflink,
518_1300,104444,585683,<b>Croix des Ruinettes - Les Attelas Verbier - Umlaufkabinenbahn</b> Baujahr: <b>1994</b>,<b>Croix des Ruinettes - Les Attelas Verbier - Télécabine à mouvement continu</b> Année de construction: <b>1994</b>,<b>Croix des Ruinettes - Les Attelas Verbier - Funivia a movimento continuo</b> Anno di costruzione: <b>1994</b>,<b>Croix des Ruinettes - Les Attelas Verbier - Circulating cableway</b> Year of construction: <b>1994</b>,Prüflink,
cimg7400,251469,651095,<b>Bootstransportbahn Rupperswil-Auenstein Auenstein - Standseilbahn</b> Baujahr: <b>1945</b>,<b>Bootstransportbahn Rupperswil-Auenstein Auenstein - Funiculaire</b> Année de construction: <b>1945</b>,<b>Bootstransportbahn Rupperswil-Auenstein Auenstein - Funiculare</b> Anno di costruzione: <b>1945</b>,<b>Bootstransportbahn Rupperswil-Auenstein Auenstein - funicular railway</b> Year of construction: <b>1945</b>,Prüflink,
cimg6524,262090,643020,<b>Tonwerke - Käsleten Frick - Umlaufmaterialbahn</b> Baujahr: <b>1935</b>,<b>Tonwerke - Käsleten Frick - Télécabine à mouvement continu</b> Année de construction: <b>1935</b>,<b>Tonwerke - Käsleten Frick - Funivia a movimento continuo</b> Anno di costruzione: <b>1935</b>,<b>Tonwerke - Käsleten Frick - Material circulating cableway</b> Year of construction: <b>1935</b>,Prüflink,
