Bildnummer,Y Koordinate,X Koordinate,Legende DE **,Legende FR **,Legende IT **,Legende EN **,Map.geo.admin.ch link,Kommentar
cimg3139,180590,695850,<b>Bristen - Waldiberg Bristen - Pendelbahn</b> Baujahr: <b>1979</b>,<b>Bristen - Waldiberg Bristen - Téléphérique à va-et-vient</b> Année de construction: <b>1979</b>,<b>Bristen - Waldiberg Bristen - Funivia a va e vieni</b> Anno di costruzione: <b>1979</b>,<b>Bristen - Waldiberg Bristen - aerial tramway</b> Year of construction: <b>1979</b>,Prüflink,
cimg3250,198669,689505,<b>Tellsplatte - Unteraxen Sisikon - Pendelbahn</b> Baujahr: <b>1960</b>,<b>Tellsplatte - Unteraxen Sisikon - Téléphérique à va-et-vient</b> Année de construction: <b>1960</b>,<b>Tellsplatte - Unteraxen Sisikon - Funivia a va e vieni</b> Anno di costruzione: <b>1960</b>,<b>Tellsplatte - Unteraxen Sisikon - aerial tramway</b> Year of construction: <b>1960</b>,Prüflink,
cimg6231,192330,697360,<b>Witerschwanden - Eggenbergli Spiringen - Pendelbahn</b> Baujahr: <b>1953</b>,<b>Witerschwanden - Eggenbergli Spiringen - Téléphérique à va-et-vient</b> Année de construction: <b>1953</b>,<b>Witerschwanden - Eggenbergli Spiringen - Funivia a va e vieni</b> Anno di costruzione: <b>1953</b>,<b>Witerschwanden - Eggenbergli Spiringen - aerial tramway</b> Year of construction: <b>1953</b>,Prüflink,
cimg2754,127455,570820,<b>Hôtel du Parc I Ollon - Skilift</b> Baujahr: <b>1954</b>,<b>Hôtel du Parc I Ollon - Téléski</b> Année de construction: <b>1954</b>,<b>Hôtel du Parc I Ollon - Skilift</b> Anno di costruzione: <b>1954</b>,<b>Hôtel du Parc I Ollon - ski lift</b> Year of construction: <b>1954</b>,Prüflink,
517_9621a,137817,573564,<b>Les Parchets I Ormont-dessous - Skilift</b> Baujahr: <b>1959</b>,<b>Les Parchets I Ormont-dessous - Téléski</b> Année de construction: <b>1959</b>,<b>Les Parchets I Ormont-dessous - Skilift</b> Anno di costruzione: <b>1959</b>,<b>Les Parchets I Ormont-dessous - ski lift</b> Year of construction: <b>1959</b>,Prüflink,
cimg4718,132565,656610,<b>Heiligkreuz - Kumme Binn - Pendelbahn</b> Baujahr: <b>1969</b>,<b>Heiligkreuz - Kumme Binn - Téléphérique à va-et-vient</b> Année de construction: <b>1969</b>,<b>Heiligkreuz - Kumme Binn - Funivia a va e vieni</b> Anno di costruzione: <b>1969</b>,<b>Heiligkreuz - Kumme Binn - aerial tramway</b> Year of construction: <b>1969</b>,Prüflink,
cimg7260,112039,574247,<b>Les Garettes - Col de Fully Fully - Pendelbahn</b> Baujahr: <b>1915</b>,<b>Les Garettes - Col de Fully Fully - Téléphérique à va-et-vient</b> Année de construction: <b>1915</b>,<b>Les Garettes - Col de Fully Fully - Funivia a va e vieni</b> Anno di costruzione: <b>1915</b>,<b>Les Garettes - Col de Fully Fully - aerial tramway</b> Year of construction: <b>1915</b>,Prüflink,
cimg2854,138569,641399,<b>Hohstock Naters - Skilift</b> Baujahr: <b>1982</b>,<b>Hohstock Naters - Téléski</b> Année de construction: <b>1982</b>,<b>Hohstock Naters - Skilift</b> Anno di costruzione: <b>1982</b>,<b>Hohstock Naters - ski lift</b> Year of construction: <b>1982</b>,Prüflink,
cimg3955,135090,642415,<b>Rischinen - Massa Naters - Pendelbahn</b> Baujahr: <b>1961</b>,<b>Rischinen - Massa Naters - Téléphérique à va-et-vient</b> Année de construction: <b>1961</b>,<b>Rischinen - Massa Naters - Funivia a va e vieni</b> Anno di costruzione: <b>1961</b>,<b>Rischinen - Massa Naters - aerial tramway</b> Year of construction: <b>1961</b>,Prüflink,
dsc01026,103613,635285,<b>Gletscherlift Längfluh - Panoramaplatz Saas-Fee - Skilift</b> Baujahr: <b>1994</b>,<b>Gletscherlift Längfluh - Panoramaplatz Saas-Fee - Téléski</b> Année de construction: <b>1994</b>,<b>Gletscherlift Längfluh - Panoramaplatz Saas-Fee - Skilift</b> Anno di costruzione: <b>1994</b>,<b>Gletscherlift Längfluh - Panoramaplatz Saas-Fee - ski lift</b> Year of construction: <b>1994</b>,Prüflink,
test,150605,667545,<b>Ulrichen - Altstafel Ulrichen - Einseilpendelbahn</b> Baujahr: <b>1962</b>,<b>Ulrichen - Altstafel Ulrichen - Téléphérique monocâble à va-et-vient</b> Année de construction: <b>1962</b>,<b>Ulrichen - Altstafel Ulrichen - Funivia a va e vieni</b> Anno di costruzione: <b>1962</b>,<b>Ulrichen - Altstafel Ulrichen - Mono cable aerial tramway </b> Year of construction: <b>1962</b>,Prüflink,
cimg6952,96150,623675,<b>Schiebuwaldji Zermatt - Standseilbahn</b> Baujahr: <b>1967</b>,<b>Schiebuwaldji Zermatt - Funiculaire</b> Année de construction: <b>1967</b>,<b>Schiebuwaldji Zermatt - Funiculare</b> Anno di costruzione: <b>1967</b>,<b>Schiebuwaldji Zermatt - funicular railway</b> Year of construction: <b>1967</b>,Prüflink,
cimg7077,95700,623410,<b>Winkelmatten - Zmutt Zermatt - Pendelbahn</b> Baujahr: <b>1968</b>,<b>Winkelmatten - Zmutt Zermatt - Téléphérique à va-et-vient</b> Année de construction: <b>1968</b>,<b>Winkelmatten - Zmutt Zermatt - Funivia a va e vieni</b> Anno di costruzione: <b>1968</b>,<b>Winkelmatten - Zmutt Zermatt - aerial tramway</b> Year of construction: <b>1968</b>,Prüflink,
cimg3465,221495,739975,<b>Lochezen Walenstadt - Standseilbahn</b> Baujahr: <b>1956</b>,<b>Lochezen Walenstadt - Funiculaire</b> Année de construction: <b>1956</b>,<b>Lochezen Walenstadt - Funiculare</b> Anno di costruzione: <b>1956</b>,<b>Lochezen Walenstadt - funicular railway</b> Year of construction: <b>1956</b>,Prüflink,
cimg3773,221100,703080,<b>Grund-Grosshusweid Willerzell/Einsiedeln - Umlaufsesselbahn feste Klemmen</b> Baujahr: <b>1959</b>,<b>Grund-Grosshusweid Willerzell/Einsiedeln - Télésiège à pinces fixes</b> Année de construction: <b>1959</b>,<b>Grund-Grosshusweid Willerzell/Einsiedeln - Funivia a movimento continuo</b> Anno di costruzione: <b>1959</b>,<b>Grund-Grosshusweid Willerzell/Einsiedeln - Fixed grip chairlift</b> Year of construction: <b>1959</b>,Prüflink,
cimg6339,198720,666640,<b>Rohren-Melbach Ennetmoos - Umlaufmaterialbahn</b> Baujahr: <b>1931</b>,<b>Rohren-Melbach Ennetmoos - Télécabine à mouvement continu</b> Année de construction: <b>1931</b>,<b>Rohren-Melbach Ennetmoos - Funivia a movimento continuo</b> Anno di costruzione: <b>1931</b>,<b>Rohren-Melbach Ennetmoos - Material circulating cableway</b> Year of construction: <b>1931</b>,Prüflink,
cimg4446,188290,671130,<b>Obermatt-Zingel Obermatt - Pendelbahn</b> Baujahr: <b>1923</b>,<b>Obermatt-Zingel Obermatt - Téléphérique à va-et-vient</b> Année de construction: <b>1923</b>,<b>Obermatt-Zingel Obermatt - Funivia a va e vieni</b> Anno di costruzione: <b>1923</b>,<b>Obermatt-Zingel Obermatt - aerial tramway</b> Year of construction: <b>1923</b>,Prüflink,
521_2194,95414,717026,<b>Lugano Angioli Lugano - Standseilbahn</b> Baujahr: <b>1913</b>,<b>Lugano Angioli Lugano - Funiculaire</b> Année de construction: <b>1913</b>,<b>Lugano Angioli Lugano - Funiculare</b> Anno di costruzione: <b>1913</b>,<b>Lugano Angioli Lugano - funicular railway</b> Year of construction: <b>1913</b>,Prüflink,
520_6436,256300,684630,<b>Airside-Center - Dock-E (Skymetro) Zürich-Flughafen - Standseilbahn</b> Baujahr: <b>2001</b>,<b>Airside-Center - Dock-E (Skymetro) Zürich-Flughafen - Funiculaire</b> Année de construction: <b>2001</b>,<b>Airside-Center - Dock-E (Skymetro) Zürich-Flughafen - Funiculare</b> Anno di costruzione: <b>2001</b>,<b>Airside-Center - Dock-E (Skymetro) Zürich-Flughafen - funicular railway</b> Year of construction: <b>2001</b>,Prüflink,
cimg4289,189912,670817,<b>Mettlen Vorderrugisbalm Wolfenschiessen - Pendelbahn</b> Baujahr: <b>1912</b>,<b>Mettlen Vorderrugisbalm Wolfenschiessen - Téléphérique à va-et-vient</b> Année de construction: <b>1912</b>,<b>Mettlen Vorderrugisbalm Wolfenschiessen - Funivia a va e vieni</b> Anno di costruzione: <b>1912</b>,<b>Mettlen Vorderrugisbalm Wolfenschiessen - aerial tramway</b> Year of construction: <b>1912</b>,Prüflink,
cimg5223,169220,688156,<b>Gütsch - Göschenen Göschenen - Pendelbahn</b> Baujahr: <b>1951</b>,<b>Gütsch - Göschenen Göschenen - Téléphérique à va-et-vient</b> Année de construction: <b>1951</b>,<b>Gütsch - Göschenen Göschenen - Funivia a va e vieni</b> Anno di costruzione: <b>1951</b>,<b>Gütsch - Göschenen Göschenen - aerial tramway</b> Year of construction: <b>1951</b>,Prüflink,
cimg5113,148840,679550,<b>All'Acqua - Airolo V.Bedr. Airolo - Pendelbahn</b> Baujahr: <b>1948</b>,<b>All'Acqua - Airolo V.Bedr. Airolo - Téléphérique à va-et-vient</b> Année de construction: <b>1948</b>,<b>All'Acqua - Airolo V.Bedr. Airolo - Funivia a va e vieni</b> Anno di costruzione: <b>1948</b>,<b>All'Acqua - Airolo V.Bedr. Airolo - aerial tramway</b> Year of construction: <b>1948</b>,Prüflink,
19980914_eb_004,215310,748490,<b>Ragnatsch - Sargans Sargans - Pendelbahn</b> Baujahr: <b>1941</b>,<b>Ragnatsch - Sargans Sargans - Téléphérique à va-et-vient</b> Année de construction: <b>1941</b>,<b>Ragnatsch - Sargans Sargans - Funivia a va e vieni</b> Anno di costruzione: <b>1941</b>,<b>Ragnatsch -Sargans Sargans - aerial tramway</b> Year of construction: <b>1941</b>,Prüflink,
cimg2438,242395,712520,<b>Brand - Oberegg Fischenthal - Skilift</b> Baujahr: <b>1963</b>,<b>Brand - Oberegg Fischenthal - Téléski</b> Année de construction: <b>1963</b>,<b>Brand - Oberegg Fischenthal - Skilift</b> Anno di costruzione: <b>1963</b>,<b>Brand - Oberegg Fischenthal - ski lift</b> Year of construction: <b>1963</b>,Prüflink,
