Bildname,Koordinate  Y,Koordinate X,Beschreibung DE,Beschreibung FR,Beschreibung IT,Beschreibung EN,Map.geo.admin.ch link,Kommentar
14095_4877,648646,165330.5,Übungsbesprechung der Mitrailleure vor dem Gletscher von Grindelwald,,,,http://map.geo.admin.ch/?crosshair=bowl&Y=648646&X=165330.5&zoom=9&crosshair=bowl,
14093_0799,587367.5,249515.5,Panorama von Pkt. 875 aus bei les Mermets dessus,,,,http://map.geo.admin.ch/?crosshair=bowl&Y=587367.5&X=249515.5&zoom=9&crosshair=bowl,
4096_0338,680587.5,269995.5,Ein Zug fährt über den [bewachten] Eisenbahnviadukt der Linie Zürich – Schaffhausen,,,,http://map.geo.admin.ch/?crosshair=bowl&Y=680587.5&X=269995.5&zoom=9&crosshair=bowl,
